"user","city","gender","age","asset_year","user_status","earnings","first_trip_m","price_hourly"
319,"Los Angeles","MALE",NA,2015,"ACTIVE",9.632,84,6.89
320,"Boston","MALE",NA,2014,"DELISTED",0,NA,8
321,"Chicago","FEMALE",34,2008,"DELISTED",279.882,78,4.68
322,"Emeryville","FEMALE",NA,2011,"RESCUING",298.2,43,6.78
323,"Marina Del Rey","MALE",31,2009,"DELISTED",111.788,80,4.69
324,"San Francisco","FEMALE",NA,1999,"DELISTED",192,NA,5
325,"Washington","MALE",38,2010,"DELISTED",182.16,40,13
326,"Jersey City","MALE",NA,2016,"ACTIVE",157.268,82,6.27
327,"San Francisco","MALE",34,2009,"DELISTED",2750.52,46,11
328,"Oakland","FEMALE",34,1995,"DELISTED",94.952,NA,7.5
329,"San Francisco","FEMALE",34,2003,"DELISTED",804.27,NA,6
330,"Oakland","FEMALE",NA,2013,"DELISTED",609,NA,25
331,"Chicago","MALE",32,2015,"LIMITED",2670.912,67,6.28
332,"Seattle","MALE",NA,2013,"ACTIVE",407.1,77,7.04
333,"San Francisco","MALE",32,2008,"DELISTED",29.7,NA,10
334,"San Francisco","FEMALE",NA,2014,"DELISTED",132.452,58,9.5
335,"Miami","FEMALE",NA,2015,"SCHEDULING",0,NA,18.02
336,"San Francisco","FEMALE",NA,2018,"ONBOARDING",0,NA,7.5
337,"Portland","MALE",NA,2018,"ACTIVE",29.414,83,4.95
338,"Philadelphia","MALE",30,2014,"DELISTED",175.664,82,6.48
339,"Emeryville","MALE",30,2013,"DELISTED",0,66,8
340,"San Francisco","FEMALE",NA,2015,"OFFBOARDING",0,62,5
341,"Santa Ana","MALE",35,2017,"LIMITED",19.8,83,9.31
342,"Washington","MALE",27,2013,"DELISTED",108.12,52,60
343,"San Francisco","MALE",42,2009,"DELISTED",5342.434,40,7.5
344,"Washington","MALE",35,2009,"ACTIVE",452.982,83,4.51
345,"San Francisco","MALE",NA,2007,"DELISTED",35.28,45,8
346,"Los Angeles","MALE",34,2018,"LIMITED",128.694,82,6.83
347,"Oakland","FEMALE",NA,2015,"ACTIVE",42.19,84,6.91
348,"San Francisco","MALE",30,2007,"DELISTED",860.654,45,8.75
349,"","FEMALE",NA,1998,"DELISTED",0,NA,12
350,"San Francisco","MALE",NA,2011,"DELISTED",0,NA,25
351,"Lafayette","FEMALE",33,2009,"DELISTED",5.7,NA,10
352,"Washington","MALE",NA,2016,"DELISTED",80.07,59,8.5
353,"Burlingame","MALE",NA,2003,"DELISTED",13.44,NA,7
354,"Denver","MALE",27,2018,"ACTIVE",6.958,83,7.6
355,"San Francisco","FEMALE",NA,2018,"ONBOARDING",0,NA,7.5
356,"San Francisco","MALE",43,2006,"DELISTED",297.208,NA,8.5
357,"San Francisco","MALE",29,2012,"DELISTED",0,NA,24
358,"Culver City","FEMALE",33,2010,"ACTIVE",17.786,83,4.74
359,"Chicago","MALE",31,2010,"DELISTED",106.89,51,7
360,"San Francisco","FEMALE",32,2016,"LIMITED",1889.704,70,7.46
361,"Oakland","FEMALE",46,2010,"DELISTED",981.18,44,9
362,"San Francisco","MALE",32,2015,"DELISTED",6118.444,48,8.47
363,"Los Angeles","FEMALE",26,2008,"DELISTED",247.156,74,4.83
364,"Washington","FEMALE",28,2016,"LIMITED",1359.59,70,7.47
365,"San Francisco","MALE",NA,2009,"ACTIVE",12.218,82,9.48
366,"Chicago","MALE",NA,2016,"OFFBOARDING",133.2,56,8
367,"Portland","FEMALE",44,2005,"DELISTED",908.34,NA,6
368,"Oakland","MALE",35,2005,"ACTIVE",1389.84,41,8.5
369,"San Francisco","MALE",NA,2012,"DELISTED",0,NA,7.5
370,"Portland","FEMALE",NA,2002,"DELISTED",0,NA,7.5
371,"","FEMALE",NA,2007,"DELISTED",0,NA,5
372,"","MALE",NA,2006,"DELISTED",0,NA,8
373,"West New York","FEMALE",NA,2018,"ACTIVE",0,79,15.81
374,"Chicago","MALE",31,2016,"DELISTED",147.69,55,9
375,"San Diego","MALE",NA,2013,"DELISTED",16.8,NA,19
376,"San Francisco","FEMALE",35,2013,"DELISTED",1362.69,57,9
377,"San Francisco","FEMALE",24,2011,"ACTIVE",510.526,78,5
378,"San Francisco","MALE",39,2006,"DELISTED",10121.144,43,9.35
379,"San Francisco","MALE",28,2015,"DELISTED",7823.5,44,8.47
380,"","MALE",NA,2014,"DELISTED",5.4,NA,9
381,"San Francisco","MALE",31,2008,"DELISTED",638.194,41,6.5
382,"Monroe","MALE",NA,2010,"DELISTED",0,NA,8
383,"San Francisco","MALE",33,2009,"DELISTED",1162.696,43,8.5
384,"San Francisco","MALE",NA,1999,"DELISTED",0,NA,6.5
385,"San Francisco","FEMALE",27,2016,"DELISTED",880.598,60,12
386,"San Francisco","FEMALE",58,2014,"DELISTED",21.826,58,7.5
387,"Jersey City","MALE",NA,2007,"DELISTED",0,NA,9
388,"San Francisco","MALE",NA,2017,"RESCUING",42.29,79,9.6
389,"San Francisco","FEMALE",45,2014,"ACTIVE",0,58,7.15
390,"","MALE",38,2008,"DELISTED",0,NA,11
391,"","MALE",NA,2001,"DELISTED",0,NA,6
392,"Medford","FEMALE",NA,2009,"ACTIVE",20.708,84,6.99
393,"Cambridge","MALE",46,2016,"ACTIVE",60.084,76,23.53
394,"Berkeley","MALE",NA,2007,"DELISTED",83.88,NA,10
395,"Portland","MALE",26,2000,"DELISTED",17.76,NA,7
