"user","treatment","num_applications","num_hires","prior_spend","prior_openings"
423,"1",14,0,7.5347466312681,22
424,"0",7,1,0,1
425,"1",0,0,4.55849777778966,2
426,"0",0,0,0,1
427,"0",61,1,5.53168843801768,12
428,"0",51,0,8.99990078253353,8
429,"1",21,3,0,1
430,"0",1,1,4.39444915467244,9
431,"0",67,1,6.172410157722,35
432,"1",0,0,4.94114229756762,3
433,"1",11,0,0,16
434,"1",2,0,11.8863980945142,31
435,"0",33,0,4.85288926986834,7
436,"0",0,0,4.5685062016165,7
437,"0",17,1,0,1
438,"1",20,0,0,4
439,"1",60,1,8.1952177664069,5
440,"1",1,0,0,1
441,"1",10,0,0,3
442,"1",1,1,0,1
443,"0",82,5,12.1818215504566,32
444,"1",131,0,7.69735289809515,17
445,"0",0,0,0,2
446,"0",1,0,8.00153591398807,9
447,"1",21,0,8.05222645569754,126
448,"0",27,0,9.35325733204464,85
449,"0",0,0,6.98569732026172,11
450,"0",9,0,0,7
451,"1",23,0,0,1
452,"1",25,0,0,1
453,"1",1,0,0,1
454,"1",41,1,5.20158617758826,7
455,"1",0,0,0,6
456,"1",16,0,0,2
457,"1",0,0,5.84104855132501,12
458,"1",0,0,6.72587362541657,4
459,"0",40,1,6.76530422418296,4
460,"1",11,1,0,1
461,"1",25,1,8.57209038395453,23
462,"0",16,0,7.41752634689952,14
463,"1",12,1,6.95177216439891,18
464,"1",15,2,6.02116896981431,32
465,"0",1,0,7.19784694602772,10
466,"1",21,0,0,1
467,"0",29,1,4.68314922730468,12
468,"0",1,1,0,6
469,"0",1,0,3.71357206670431,3
470,"1",0,0,4.61512051684126,2
471,"1",0,0,7.03852912306203,45
472,"0",1,0,0,1
473,"1",4,0,8.12260273931634,124
474,"0",16,1,8.68859703292489,15
475,"0",2,0,4.09783845147636,2
476,"0",3,1,0,2
477,"0",4,0,7.98926549058357,5
478,"0",23,1,0,2
479,"1",25,0,0,1
480,"1",4,0,0,1
481,"1",0,0,10.5673549844155,30
482,"0",17,1,8.00546048971275,24
483,"1",32,0,6.76330737461626,5
484,"1",1,1,8.62579644371591,28
485,"1",73,0,6.59831827472733,9
486,"1",0,0,3.15273602236366,5
487,"1",0,0,7.4738926124792,20
488,"1",10,0,0,1
489,"1",0,0,5.83676788492615,4
490,"0",0,0,4.86753445045558,3
